x:-0.038704, y:0.971217, z:-0.235031, w:0.000000
x:0.006204, y:0.959773, z:-0.280710, w:0.000000
x:0.050980, y:0.946943, z:-0.317333, w:0.000000
x:0.095408, y:0.933075, z:-0.346796, w:0.000000
x:0.139341, y:0.918390, z:-0.370330, w:0.000000
x:0.182679, y:0.903028, z:-0.388804, w:0.000000
x:0.225345, y:0.887086, z:-0.402862, w:0.000000
x:0.267281, y:0.870628, z:-0.412998, w:0.000000
x:0.308437, y:0.853700, z:-0.419598, w:0.000000
x:0.348771, y:0.836339, z:-0.422962, w:0.000000
x:0.388245, y:0.818565, z:-0.423341, w:0.000000
x:0.426826, y:0.800386, z:-0.420954, w:0.000000
x:0.464481, y:0.781809, z:-0.415971, w:0.000000
x:0.501180, y:0.762833, z:-0.408539, w:0.000000
x:0.536891, y:0.743453, z:-0.398781, w:0.000000
x:0.571582, y:0.723661, z:-0.386793, w:0.000000
x:0.605220, y:0.703440, z:-0.372669, w:0.000000
x:0.637770, y:0.682763, z:-0.356490, w:0.000000
x:0.669194, y:0.661610, z:-0.338306, w:0.000000
x:0.699453, y:0.639953, z:-0.318160, w:0.000000
x:0.728501, y:0.617751, z:-0.296092, w:0.000000
x:0.756288, y:0.594958, z:-0.272128, w:0.000000
x:0.782758, y:0.571523, z:-0.246275, w:0.000000
x:0.807848, y:0.547380, z:-0.218534, w:0.000000
x:0.831484, y:0.522455, z:-0.188878, w:0.000000
x:0.853581, y:0.496655, z:-0.157268, w:0.000000
x:0.874036, y:0.469863, z:-0.123651, w:0.000000
x:0.892727, y:0.441933, z:-0.087937, w:0.000000
x:0.909502, y:0.412683, z:-0.049990, w:0.000000
x:0.924168, y:0.381865, z:-0.009618, w:0.000000
x:0.936471, y:0.349146, z:0.033459, w:0.000000
x:0.946061, y:0.314042, z:0.079659, w:0.000000
x:0.952424, y:0.275814, z:0.129676, w:0.000000
x:0.954727, y:0.233210, z:0.184685, w:0.000000
x:0.951388, y:0.183723, z:0.247196, w:0.000000
x:0.938255, y:0.120424, z:0.324307, w:0.000000
x:-0.260658, y:0.965318, z:0.014778, w:0.000000
x:-0.220731, y:0.968691, z:-0.113651, w:0.000000
x:-0.176660, y:0.963867, z:-0.199376, w:0.000000
x:-0.131217, y:0.955468, z:-0.264315, w:0.000000
x:-0.085321, y:0.944965, z:-0.315850, w:0.000000
x:-0.039419, y:0.933044, z:-0.357595, w:0.000000
x:0.006232, y:0.920083, z:-0.391675, w:0.000000
x:0.051465, y:0.906316, z:-0.419456, w:0.000000
x:0.096167, y:0.891895, z:-0.441900, w:0.000000
x:0.140252, y:0.876925, z:-0.459708, w:0.000000
x:0.183660, y:0.861470, z:-0.473432, w:0.000000
x:0.226337, y:0.845589, z:-0.483477, w:0.000000
x:0.268242, y:0.829314, z:-0.490188, w:0.000000
x:0.309335, y:0.812677, z:-0.493830, w:0.000000
x:0.349588, y:0.795684, z:-0.494647, w:0.000000
x:0.388968, y:0.778351, z:-0.492823, w:0.000000
x:0.427448, y:0.760681, z:-0.488521, w:0.000000
x:0.465000, y:0.742675, z:-0.481880, w:0.000000
x:0.501597, y:0.724335, z:-0.473011, w:0.000000
x:0.537213, y:0.705646, z:-0.462024, w:0.000000
x:0.571818, y:0.686599, z:-0.449005, w:0.000000
x:0.605384, y:0.667181, z:-0.434026, w:0.000000
x:0.637880, y:0.647372, z:-0.417155, w:0.000000
x:0.669272, y:0.627151, z:-0.398441, w:0.000000
x:0.699525, y:0.606492, z:-0.377932, w:0.000000
x:0.728598, y:0.585363, z:-0.355662, w:0.000000
x:0.756448, y:0.563733, z:-0.331651, w:0.000000
x:0.783027, y:0.541554, z:-0.305922, w:0.000000
x:0.808279, y:0.518780, z:-0.278482, w:0.000000
x:0.832144, y:0.495352, z:-0.249326, w:0.000000
x:0.854549, y:0.471198, z:-0.218446, w:0.000000
x:0.875412, y:0.446242, z:-0.185800, w:0.000000
x:0.894637, y:0.420380, z:-0.151348, w:0.000000
x:0.912106, y:0.393488, z:-0.115019, w:0.000000
x:0.927680, y:0.365409, z:-0.076726, w:0.000000
x:0.941181, y:0.335944, z:-0.036318, w:0.000000
x:0.952386, y:0.304828, z:0.006395, w:0.000000
x:0.960994, y:0.271693, z:0.051702, w:0.000000
x:0.966589, y:0.236011, z:0.100028, w:0.000000
x:0.968546, y:0.196955, z:0.152080, w:0.000000
x:0.965832, y:0.153102, z:0.209113, w:0.000000
x:0.956411, y:0.101512, z:0.273812, w:0.000000
x:0.934455, y:0.033336, z:0.354517, w:0.000000
x:-0.349914, y:0.934097, z:0.070879, w:0.000000
x:-0.313979, y:0.944399, z:-0.097609, w:0.000000
x:-0.270417, y:0.941936, z:-0.199075, w:0.000000
x:-0.224662, y:0.935043, z:-0.274267, w:0.000000
x:-0.178082, y:0.925729, z:-0.333636, w:0.000000
x:-0.131282, y:0.914851, z:-0.381854, w:0.000000
x:-0.084594, y:0.902868, z:-0.421514, w:0.000000
x:-0.038218, y:0.890041, z:-0.454276, w:0.000000
x:0.007704, y:0.876551, z:-0.481248, w:0.000000
x:0.053078, y:0.862507, z:-0.503254, w:0.000000
x:0.097830, y:0.847995, z:-0.520896, w:0.000000
x:0.141900, y:0.833079, z:-0.534643, w:0.000000
x:0.185248, y:0.817785, z:-0.544896, w:0.000000
x:0.227830, y:0.802157, z:-0.551939, w:0.000000
x:0.269617, y:0.786211, z:-0.556039, w:0.000000
x:0.310577, y:0.769960, z:-0.557408, w:0.000000
x:0.350685, y:0.753416, z:-0.556224, w:0.000000
x:0.389913, y:0.736583, z:-0.552642, w:0.000000
x:0.428240, y:0.719461, z:-0.546797, w:0.000000
x:0.465640, y:0.702048, z:-0.538803, w:0.000000
x:0.502089, y:0.684342, z:-0.528756, w:0.000000
x:0.537563, y:0.666330, z:-0.516749, w:0.000000
x:0.572037, y:0.648003, z:-0.502858, w:0.000000
x:0.605484, y:0.629348, z:-0.487144, w:0.000000
x:0.637877, y:0.610350, z:-0.469667, w:0.000000
x:0.669184, y:0.590988, z:-0.450474, w:0.000000
x:0.699372, y:0.571240, z:-0.429609, w:0.000000
x:0.728408, y:0.551078, z:-0.407106, w:0.000000
x:0.756250, y:0.530477, z:-0.382987, w:0.000000
x:0.782857, y:0.509399, z:-0.357277, w:0.000000
x:0.808179, y:0.487804, z:-0.329989, w:0.000000
x:0.832163, y:0.465647, z:-0.301126, w:0.000000
x:0.854747, y:0.442874, z:-0.270684, w:0.000000
x:0.875861, y:0.419419, z:-0.238653, w:0.000000
x:0.895423, y:0.395208, z:-0.205010, w:0.000000
x:0.913338, y:0.370152, z:-0.169708, w:0.000000
x:0.929494, y:0.344135, z:-0.132712, w:0.000000
x:0.943755, y:0.317025, z:-0.093926, w:0.000000
x:0.955954, y:0.288646, z:-0.053248, w:0.000000
x:0.965881, y:0.258772, z:-0.010539, w:0.000000
x:0.973263, y:0.227100, z:0.034425, w:0.000000
x:0.977730, y:0.193209, z:0.081943, w:0.000000
x:0.978754, y:0.156469, z:0.132505, w:0.000000
x:0.975521, y:0.115876, z:0.186899, w:0.000000
x:0.966611, y:0.069607, z:0.246615, w:0.000000
x:0.948946, y:0.013532, z:0.315150, w:0.000000
x:0.910942, y:-0.068692, z:0.406776, w:0.000000
x:-0.405196, y:0.913134, z:-0.044754, w:0.000000
x:-0.363916, y:0.915061, z:-0.173862, w:0.000000
x:-0.318569, y:0.910374, z:-0.264069, w:0.000000
x:-0.271721, y:0.902591, z:-0.333911, w:0.000000
x:-0.224304, y:0.892942, z:-0.390311, w:0.000000
x:-0.176786, y:0.882028, z:-0.436776, w:0.000000
x:-0.129441, y:0.870193, z:-0.475404, w:0.000000
x:-0.082443, y:0.857643, z:-0.507593, w:0.000000
x:-0.035915, y:0.844523, z:-0.534314, w:0.000000
x:0.010059, y:0.830920, z:-0.556301, w:0.000000
x:0.055411, y:0.816906, z:-0.574103, w:0.000000
x:0.100089, y:0.802529, z:-0.588158, w:0.000000
x:0.144048, y:0.787831, z:-0.598810, w:0.000000
x:0.187254, y:0.772835, z:-0.606351, w:0.000000
x:0.229677, y:0.757557, z:-0.611029, w:0.000000
x:0.271290, y:0.742011, z:-0.613044, w:0.000000
x:0.312066, y:0.726210, z:-0.612563, w:0.000000
x:0.351984, y:0.710153, z:-0.609746, w:0.000000
x:0.391021, y:0.693849, z:-0.604712, w:0.000000
x:0.429157, y:0.677287, z:-0.597585, w:0.000000
x:0.466369, y:0.660469, z:-0.588456, w:0.000000
x:0.502635, y:0.643390, z:-0.577415, w:0.000000
x:0.537933, y:0.626042, z:-0.564534, w:0.000000
x:0.572241, y:0.608410, z:-0.549889, w:0.000000
x:0.605534, y:0.590487, z:-0.533530, w:0.000000
x:0.637784, y:0.572253, z:-0.515517, w:0.000000
x:0.668966, y:0.553696, z:-0.495888, w:0.000000
x:0.699049, y:0.534791, z:-0.474689, w:0.000000
x:0.728000, y:0.515521, z:-0.451945, w:0.000000
x:0.755783, y:0.495859, z:-0.427688, w:0.000000
x:0.782359, y:0.475774, z:-0.401937, w:0.000000
x:0.807684, y:0.455231, z:-0.374714, w:0.000000
x:0.831711, y:0.434197, z:-0.346021, w:0.000000
x:0.854383, y:0.412622, z:-0.315868, w:0.000000
x:0.875641, y:0.390459, z:-0.284245, w:0.000000
x:0.895412, y:0.367646, z:-0.251146, w:0.000000
x:0.913615, y:0.344111, z:-0.216554, w:0.000000
x:0.930156, y:0.319772, z:-0.180431, w:0.000000
x:0.944924, y:0.294527, z:-0.142731, w:0.000000
x:0.957785, y:0.268249, z:-0.103397, w:0.000000
x:0.968575, y:0.240783, z:-0.062341, w:0.000000
x:0.977092, y:0.211928, z:-0.019449, w:0.000000
x:0.983076, y:0.181419, z:0.025455, w:0.000000
x:0.986184, y:0.148897, z:0.072607, w:0.000000
x:0.985934, y:0.113840, z:0.122368, w:0.000000
x:0.981619, y:0.075452, z:0.175303, w:0.000000
x:0.972081, y:0.032389, z:0.232398, w:0.000000
x:0.955109, y:-0.018029, z:0.295705, w:0.000000
